Model;CV Score;balanced_accuracy-train;f1-score-train;precision-train;recall-train;balanced_accuracy-test;f1-score-test;precision-test;recall-test
Decision Tree_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
MLP_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Random Forest_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Gradient Boosting_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Random Forest_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Naive Bayes_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Logistic Regression_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Naive Bayes_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
KNN_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Logistic Regression_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
MLP_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
KNN_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Logistic Regression_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Decision Tree_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Random Forest_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
XGBoost_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Logistic Regression_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Decision Tree_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
KNN_mi;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Naive Bayes_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Gradient Boosting_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
XGBoost_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Gradient Boosting_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Gradient Boosting_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Naive Bayes_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Gradient Boosting_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Naive Bayes_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
MLP_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
KNN_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Decision Tree_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
MLP_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
KNN_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Random Forest_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
XGBoost_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
XGBoost_rfe;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Logistic Regression_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
MLP_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Random Forest_rf;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Decision Tree_pca;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
XGBoost_none;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
