Class,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.00,1.00,1.00,17.0,0.85,0.58,0.69,19.0,Decision Tree
1,1.00,1.00,1.00,434.0,0.70,0.68,0.69,195.0,Decision Tree
2,1.00,1.00,1.00,637.0,0.78,0.80,0.79,270.0,Decision Tree
3,1.00,1.00,1.00,2231.0,0.87,0.87,0.87,928.0,Decision Tree
4,1.00,1.00,1.00,285.0,0.82,0.76,0.79,129.0,Decision Tree
5,1.00,1.00,1.00,263.0,0.72,0.80,0.76,117.0,Decision Tree
accuracy,1.00,1.00,1.00,1.0,0.82,0.82,0.82,0.8202653799758746,Decision Tree
balanced_accuracy,nan,nan,1.00,,nan,nan,0.75,,Decision Tree
macro avg,1.00,1.00,1.00,3867.0,0.79,0.75,0.76,1658.0,Decision Tree
weighted avg,1.00,1.00,1.00,3867.0,0.82,0.82,0.82,1658.0,Decision Tree
0,1.00,1.00,1.00,17.0,1.00,0.53,0.69,19.0,Random Forest
1,1.00,1.00,1.00,434.0,0.85,0.73,0.79,195.0,Random Forest
2,1.00,1.00,1.00,637.0,0.87,0.84,0.86,270.0,Random Forest
3,1.00,1.00,1.00,2231.0,0.90,0.94,0.92,928.0,Random Forest
4,1.00,1.00,1.00,285.0,0.90,0.87,0.88,129.0,Random Forest
5,1.00,1.00,1.00,263.0,0.84,0.90,0.87,117.0,Random Forest
accuracy,1.00,1.00,1.00,1.0,0.88,0.88,0.88,0.8848009650180941,Random Forest
balanced_accuracy,nan,nan,1.00,,nan,nan,0.80,,Random Forest
macro avg,1.00,1.00,1.00,3867.0,0.89,0.80,0.83,1658.0,Random Forest
weighted avg,1.00,1.00,1.00,3867.0,0.88,0.88,0.88,1658.0,Random Forest
0,1.00,1.00,1.00,17.0,0.73,0.42,0.53,19.0,Gradient Boosting
1,0.95,0.70,0.80,434.0,0.84,0.55,0.67,195.0,Gradient Boosting
2,0.92,0.87,0.89,637.0,0.81,0.78,0.80,270.0,Gradient Boosting
3,0.90,0.98,0.94,2231.0,0.83,0.95,0.88,928.0,Gradient Boosting
4,0.97,0.93,0.95,285.0,0.88,0.78,0.83,129.0,Gradient Boosting
5,0.94,0.84,0.89,263.0,0.78,0.59,0.67,117.0,Gradient Boosting
accuracy,0.91,0.91,0.91,0.9146625290923196,0.83,0.83,0.83,0.8281061519903499,Gradient Boosting
balanced_accuracy,nan,nan,0.88,,nan,nan,0.68,,Gradient Boosting
macro avg,0.95,0.88,0.91,3867.0,0.81,0.68,0.73,1658.0,Gradient Boosting
weighted avg,0.92,0.91,0.91,3867.0,0.83,0.83,0.82,1658.0,Gradient Boosting
0,1.00,1.00,1.00,17.0,0.80,0.21,0.33,19.0,XGBoost
1,1.00,1.00,1.00,434.0,0.84,0.71,0.77,195.0,XGBoost
2,1.00,1.00,1.00,637.0,0.87,0.91,0.89,270.0,XGBoost
3,1.00,1.00,1.00,2231.0,0.91,0.94,0.92,928.0,XGBoost
4,1.00,1.00,1.00,285.0,0.88,0.88,0.88,129.0,XGBoost
5,1.00,1.00,1.00,263.0,0.81,0.85,0.83,117.0,XGBoost
accuracy,1.00,1.00,1.00,0.99974140160331,0.89,0.89,0.89,0.8866103739445115,XGBoost
balanced_accuracy,nan,nan,1.00,,nan,nan,0.75,,XGBoost
macro avg,1.00,1.00,1.00,3867.0,0.85,0.75,0.77,1658.0,XGBoost
weighted avg,1.00,1.00,1.00,3867.0,0.88,0.89,0.88,1658.0,XGBoost
